:RT;URL
Burgschwalbach;https://goo.gl/maps/2NaGTdX1456aaomHA
Burgsponheim;https://goo.gl/maps/7iMEgaCj458zcQg56
Burren bei Wäschenbeuren BW vor Hohenstaufen;https://goo.gl/maps/MPci8Adp54KQdmsd6
Butschowitz;https://goo.gl/maps/1kh4uTVasqsYWggP7
Caernarfon;https://goo.gl/maps/FFJf4JAM5mhHaxr78
Caerphilly;https://goo.gl/maps/LCbFD4pTHXFsXpQt9
Carcassonne;https://goo.gl/maps/J3WngBpPSTc6VKTp9
Casa Querini Stampalia in Pressana, Provinz Verona;https://goo.gl/maps/34wEycAf4L8VLorG8
Castel del Monte;https://goo.gl/maps/Z2YxBc91iFgF5gDB7
Castel Grande;https://goo.gl/maps/KxWJ1CHYDq7n1hjL6
Catania;https://goo.gl/maps/H3QJVrzkKkpMGzvU7
Chambord;https://goo.gl/maps/TE6UFrwPZmkSBqTFA
Champvent;https://goo.gl/maps/r18vgmpgjSab1UqVA
Chenonceau;https://goo.gl/maps/sf1HLAj3UFoLYmo18
Chepstow, Tower London;https://goo.gl/maps/zDKMq4JGsH8RHYeo9
Christenberg;https://goo.gl/maps/N6njYEM6ozUzTHC4A
Clemenswerth;https://goo.gl/maps/L2AykMHxPfTqNs726
Coburg, Veste ;https://goo.gl/maps/dMs67wvRiqpwZtza6
Cochem, Stadtbefestigung;https://goo.gl/maps/Kzh9X9PDS3wBfUJp6
Colditz;https://goo.gl/maps/co3AiKR4aDRB1aUv5
Conwy;https://goo.gl/maps/6zz7wWELkzuFYJz1A
Crottorf;https://goo.gl/maps/va7TngTGrGAswAo99
Dalberg;https://goo.gl/maps/SHc6VNnmX9dvE9db9
Dallau;https://goo.gl/maps/vFJwrAHGR3SifXNH8
Dankwarderode in Braunschweig NI ;https://goo.gl/maps/XkC2Z4YZdbVKBfVS7
Daun;https://goo.gl/maps/tmwvdipRqDH5G4Ya6
Desenberg;https://goo.gl/maps/jzk7nxsWnMnyEAqf7
Deutschordens-K. Mainau / Bodensee;https://goo.gl/maps/UNNmyY7bKCTKr6RQ8
Dieburg;https://goo.gl/maps/HDaV89dhD8o5D46p9
Dill;https://goo.gl/maps/LVBn8gVfk7G526nz6
Dover;https://goo.gl/maps/c5Y5HmLPp6CF8cKw6
Drachenburg;https://goo.gl/maps/Uvni1LwNqD3v7xBaA
Drachenfels;https://goo.gl/maps/yL1bist8zZ2s4cCN9
Drachenfels,;https://goo.gl/maps/4L8BV3ovXdzbuwxLA
Dreieichenhain;https://goo.gl/maps/nFX7HT2jGWhfL5Do8
Dresden, Zwinger;https://goo.gl/maps/shboiLwCpgNmnaci9
Druyes-les-Belles-Fontaines;https://goo.gl/maps/PrGrLm7PdhSQEXFu9
Eberhardsburg im Eulbacher Park;https://goo.gl/maps/eTFTBQGpaLmo3FRJ9
Ebernburg;https://goo.gl/maps/jTv8Y29x7m6nY4u87
Effeltrich;https://goo.gl/maps/tcmbT4skwNbD6gfF8
Egeln;https://goo.gl/maps/NEqBYVHFrArkeNyj6
Eger, Pfalz  CZ ;https://goo.gl/maps/cLJg711KrcDxouw49
Ehrenbreitstein;https://goo.gl/maps/kjn6Rj97xrVE4uLUA
Ehrenburg;https://goo.gl/maps/aGUrpxg1XQqX6EBw9
Ehrenfels;https://goo.gl/maps/jruv9ERRyLp8BA4T6
Eisenberg;https://goo.gl/maps/48858WCfY7ekVrd19
Elmendorf;https://goo.gl/maps/aqdQKvBPvGPnTcnt9
Eltz;https://goo.gl/maps/21ShKkscTs2WcgiR8
Eppstein;https://goo.gl/maps/6UgvPeMRt4hkTVhH6
Schloss Erbach;https://goo.gl/maps/6bnfjUMMHymbm1n16
Zitadelle Petersburg;https://goo.gl/maps/saGquzww9pSTbR9DA
Eschelbronn;https://goo.gl/maps/HCyEiVFcyqvptmh49
Eschenheimer Warte / Frankfurt a. M. ;https://goo.gl/maps/X8SfocqLd76jxpDF6
Ettiswil;https://goo.gl/maps/QJQNNtAqL3bMD2sL8
Falaise;https://goo.gl/maps/r95C1nxA5CWWMHFaA
Falkenlust/Brühl;https://goo.gl/maps/L5vxDXtQU2p8GEAZ6
Falkenstein/Taunus;https://goo.gl/maps/SkrokywEiQAV6BNy7
Felsberg;https://goo.gl/maps/jNrWZhyQEpaVsXBF9
Fleckenstein;https://goo.gl/maps/kq1s1djN5B74PeNE9
Fontainebleau;https://goo.gl/maps/WzTrT5Ve7QsTvUSR6
Forchheim;https://goo.gl/maps/WzTrT5Ve7QsTvUSR6
Forchheim, Stadtbefestigung;https://goo.gl/maps/eJJ3kn3mYTy7Fh6U8
Franzensburg in Laxenburg bei Wien ;https://goo.gl/maps/kXXj3KWtHsBCtoM88
Frauenfeld;https://goo.gl/maps/LqnTwYn3SQ9WdEyF8
Fredericia;https://goo.gl/maps/T5qvWX8X8BgQE8YK6
Freiburg i. Br.;https://goo.gl/maps/9XzBn51PR5txW9qz6
Freienfels;https://goo.gl/maps/gCJihGF9sr9pHdMN7
Freudenkoppe/Neroth;https://goo.gl/maps/cysywqe3FrkUctw2A
Freusburg;https://goo.gl/maps/kz3oebFE3iPBqQS26
Friedberg;https://goo.gl/maps/znFH1vG88Xy8sKRZ8
Friedestrom/Zons;https://goo.gl/maps/6XMcMHKotn3qLUy96
Friedewald;https://goo.gl/maps/2hyNm2HseeoaScAY9
Fürstenau;https://goo.gl/maps/sqVuB3Amz7WSEEYz7
Fürstenberg;https://goo.gl/maps/ZF1DPoeHgkwJ4Ncy9
Gaillard;https://goo.gl/maps/5jgxhyFuFpF7TAND9
Gatersleben;https://goo.gl/maps/TGGsGNN1vmNxx8Aj9
Gebrochen-Gutenstein;https://goo.gl/maps/ZQej6pnhoXt4RMft7
Gelnhausen;https://goo.gl/maps/dT48pVNW4Ar3PPe78
Germersheim;https://goo.gl/maps/o9oWdKasumcxEdXTA
Gibelet;https://goo.gl/maps/6ZF9i5oArDqA8x649
Gisors;https://goo.gl/maps/GPJw7UcpyZMYpbmUA
Godesburg;https://goo.gl/maps/nht5CZA8a84W18fg8
Goslar;https://goo.gl/maps/gACFR8x6jrfiEy9H7
Gotha;https://goo.gl/maps/ayYF8bNXzUdtUCzP6
Gräfenstein;https://goo.gl/maps/Dhv4AxkFMUF1Z1Kx8
Gravensteen;https://goo.gl/maps/5BibhriNNhivWuGz6
Greifenstein;https://goo.gl/maps/PxdT5KevTGiN6SMz5
Grevenburg;https://goo.gl/maps/P39ch8Uh5332DP4d6
Großcomburg;https://goo.gl/maps/1wgbQNu4F9psf66H8
Guernsey;https://goo.gl/maps/vj5GGgNZuc9gHmwe9
Gürzenich/Köln;https://goo.gl/maps/31PJYQDbSfh9Pnmx6
Burg Gutenfels;https://goo.gl/maps/P94sFNW2ZXQuMWKj8
Haag;https://goo.gl/maps/gdRnYT2PFdfDMBcq9
Habsburg;https://goo.gl/maps/yEkbfEXHfN4AXBvL8
Hainhausen;https://goo.gl/maps/TBuR8DE2jrMAYVQ38
Haldenburg;https://goo.gl/maps/uE4emgXHbEvjkbvJ7
Hallwil;https://goo.gl/maps/NZEjXP95Nd9JHkeF6
Hämelschenburg;https://goo.gl/maps/rhz7SN86p7kCtydH9
Hammerstein;https://goo.gl/maps/Y5R7v9rJCG2h8WH19
Hanau;https://goo.gl/maps/3qqdBpZ2ffpBnfL4A
Harburg;https://goo.gl/maps/DhASfnSfWJ9zrK4p9
Hardtburg;https://goo.gl/maps/69omuS1YdtEPZPQ37
Harlech;https://goo.gl/maps/bWKzeCDDh7PFuT1q8
Harsefeld;https://goo.gl/maps/dQBYHQMi7pZHYiud8
Schloss Hartenfels;https://goo.gl/maps/ZAmimY7mL9ceVgp37
Hattstein;https://goo.gl/maps/dkBZko2uS3Ak1aqq6
Hatzfeld;https://goo.gl/maps/HL6T3DBwb7oSsZYx9
